item,target_or_distractor
ranger,target
server,distractor
toad,target
normal,target
lay,distractor
cheetah,distractor
passbook,distractor
snorer,target
pasta,target
cymbal,target
park,target
flare,target
nerve,target
prompt,distractor
highland,distractor
alpenhorn,target
abbreviation,distractor
plate,target
story-telling,target
spume,target
deputy,distractor
economics,distractor
baseline,target
mask,target
ad,target
mid-course,target
catalysis,distractor
hour,distractor
schnitzel,target
inverse,target
slot,distractor
twist,distractor
maintainer,distractor
dud,target
cobbler,distractor
hellcat,distractor
mansard,target
receptor,target
tracking,target
illness,distractor
disarmament,distractor
cytoplasm,distractor
tray,target
railroad,target
importance,distractor
pumpernickel,distractor
latency,target
hygienic,target
whisker,distractor
misfit,target
anything,distractor
moai,target
boolean,target
screw-up,distractor
burial,target
sorrel,distractor
golf,target
mapping,target
listing,distractor
corporal,distractor
paradise,distractor
fondue,target
bosom,distractor
whey,distractor
winter,distractor
realm,distractor
guestbook,target
epic,target
eyestrain,target
boon,target
afterthought,distractor
empire,distractor
acre,distractor
death,target
light,distractor
standpoint,distractor
bracket,distractor
expose,distractor
songbird,distractor
shoemaker,distractor
boom,target
criticism,distractor
weakness,distractor
temperature,target
company,distractor
duffel,distractor
cadet,target
tan,distractor
dynasty,target
compliment,target
gosling,distractor
working,target
cricket,target
entrepreneur,target
outrigger,distractor
emotion,target
gasp,target
luggage,distractor
slump,distractor
lag,distractor
platinum,distractor
artist,distractor
activity,distractor
coral,target
sponsor,target
season,target
middle,distractor
image,target
policeman,target
airfield,distractor
annual,distractor
brush,target
good-bye,target
balalaika,target
veteran,distractor
compulsion,distractor
panda,target
promotion,target
julienne,target
chili,distractor
atrium,target
yellowjacket,target
antiquity,distractor
psychology,target
dividend,target
supervisor,target
bird-watcher,distractor
pence,distractor
good,distractor
pattern,distractor
initial,target
interject,target
fog,distractor
lyrics,target
honeybee,target
knee,distractor
arch-rival,target
communion,target
footrest,distractor
abbey,target
colon,target
framework,distractor
hardboard,distractor
spiderling,target
abuse,distractor
tractor,target
globe,target
enterprise,target
terrorist,distractor
broad,target
leopard,distractor
toothbrush,distractor
bride,distractor
table,target
complement,distractor
colorlessness,distractor
capon,target
saviour,target
artery,distractor
backburn,distractor
savory,distractor
database,distractor
cause,target
oregano,target
tachometer,distractor
simplification,distractor
well-being,target
kidney,target
den,distractor
haircut,distractor
mop,distractor
spell,target
railing,target
departure,distractor
nightingale,distractor
humor,target
pipe,distractor
pill,target
repayment,distractor
noun,target
director,distractor
kendo,distractor
probe,distractor
gang,distractor
agony,distractor
daikon,distractor
greenhouse,distractor
pasture,distractor
prosecutor,target
cravat,distractor
dishwasher,target
horse,distractor
sweat,distractor
med,target
nucleotidase,distractor
exhibit,target
reform,distractor
mascara,target
yew,target
pilgrimage,distractor
